"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-03-04",1,4,6,3,1,0,4,3,4,3,29
"2024-03-11",7,20,10,8,0,0,17,1,18,10,91
"2024-03-18",13,11,11,4,0,0,8,11,6,13,77
"2024-03-25",3,12,10,2,0,0,17,12,17,5,78
"2024-04-01",21,10,7,8,0,0,13,14,10,13,96
"2024-04-08",20,21,8,6,0,0,17,15,7,16,110
"2024-04-15",23,18,9,9,0,0,14,8,12,19,112
"2024-04-22",19,11,6,9,0,0,12,10,14,4,85
"2024-04-29",5,10,3,18,0,0,4,5,5,2,52
"2024-05-06",1,3,0,10,0,0,15,2,2,3,36
"2024-05-13",7,1,1,5,0,0,8,0,2,13,37
"2024-05-20",5,0,0,0,0,0,8,1,0,0,14
"2024-05-27",2,0,0,1,0,0,7,2,2,0,14
"2024-06-03",4,0,1,0,0,0,7,0,4,0,16
"2024-06-10",0,0,0,0,0,0,8,0,1,1,10
"2024-06-17",3,1,1,1,0,0,2,0,0,1,9
"2024-06-24",0,0,0,2,0,0,3,2,0,5,12
"2024-07-01",1,0,0,1,0,0,1,0,1,0,4
"2024-07-08",0,1,0,1,0,0,9,0,0,4,15
"2024-07-15",2,0,1,0,0,0,6,0,3,1,13
"2024-07-22",0,0,1,0,0,0,4,0,0,1,6
"2024-07-29",0,0,0,0,0,0,1,0,0,1,2
"2024-08-05",5,0,0,2,0,0,4,0,0,1,12
"2024-08-12",1,0,0,0,0,0,1,0,0,0,2
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",0,0,0,0,0,0,5,0,0,0,5
"2024-09-02",1,0,0,1,0,0,0,0,0,0,2
"2024-09-09",0,0,0,1,0,0,0,0,0,1,2
"2024-09-23",0,0,0,0,0,0,0,0,0,1,1
"2024-09-30",1,0,0,0,0,0,0,0,0,0,1
"2024-10-07",0,0,0,0,0,0,0,0,0,2,2
"2024-10-14",0,1,0,1,0,0,2,0,0,0,4
"2024-10-21",0,0,0,1,0,0,0,0,0,0,1
"2024-10-28",2,0,0,0,0,0,0,0,0,0,2
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",147,124,76,94,1,0,197,86,109,121,955
