"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-03-11",4,12,4,1,0,0,7,0,9,3,40
"2024-03-18",5,11,9,4,0,0,7,10,5,9,60
"2024-03-25",3,12,11,2,0,0,17,12,17,4,78
"2024-04-01",20,10,7,6,0,0,13,14,9,13,92
"2024-04-08",19,21,8,6,0,0,17,15,9,16,111
"2024-04-15",23,18,9,9,0,0,14,8,12,21,114
"2024-04-22",19,13,7,10,0,0,12,11,16,4,92
"2024-04-29",18,15,6,24,0,0,6,9,11,3,92
"2024-05-06",2,12,5,13,0,0,17,6,8,9,72
"2024-05-13",7,1,1,8,0,0,8,0,2,14,41
"2024-05-20",5,0,0,1,0,0,9,2,0,0,17
"2024-05-27",3,0,2,2,0,0,7,3,3,0,20
"2024-06-03",4,0,1,0,0,0,9,0,4,0,18
"2024-06-10",0,0,0,0,0,0,7,0,1,1,9
"2024-06-17",3,1,1,1,0,0,2,0,1,1,10
"2024-06-24",0,0,0,3,0,0,3,2,0,5,13
"2024-07-01",3,0,0,1,0,0,1,0,1,0,6
"2024-07-08",0,2,0,1,0,0,9,0,0,4,16
"2024-07-15",2,0,1,0,0,0,6,0,3,1,13
"2024-07-22",0,1,1,0,0,0,4,0,1,1,8
"2024-07-29",0,1,0,0,0,0,1,0,0,1,3
"2024-08-05",5,0,0,1,0,0,4,0,0,1,11
"2024-08-12",1,0,0,0,0,0,1,0,0,0,2
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",0,0,0,0,0,0,5,0,0,0,5
"2024-09-02",1,0,0,1,0,0,0,0,0,0,2
"2024-09-09",0,0,0,1,0,0,0,0,0,1,2
"2024-09-23",0,0,0,2,0,0,0,0,0,1,3
"2024-09-30",1,0,0,0,0,0,0,0,0,0,1
"2024-10-07",0,0,0,0,0,0,0,0,0,2,2
"2024-10-14",0,1,0,1,0,0,2,0,0,0,4
"2024-10-21",0,0,0,1,0,0,0,0,0,0,1
"2024-10-28",2,0,0,0,0,0,0,0,0,0,2
"2024-11-25",1,0,0,0,0,0,0,0,0,0,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",151,131,74,99,0,0,188,92,113,116,964
