States,State Prisons,Federal Prisons,Local Jails,Indian Country Jails,Youth Facilities,Involuntary Commitment,Probation,Parole,Total Under Correctional Control,total incarcerated,prob_pct,State Prisons,Federal Prisons,Local Jails,Indian Country Jails,Youth Facilities,Involuntary Commitment,Probation,Parole,Total Rate,Total State Population
Rhode Island,"2,238",210,0,0,108,0,"17,971",441,"20,967","2,346",88.45301964,204,19,0,0,10,0,1638,40,"1,911","1,096,985"
New Jersey,"12,506","2,311","7,860",0,513,803,"119,707","14,812","158,512","20,879",85.14859232,135,25,85,0,6,9,1292,160,"1,712","9,267,961"
Minnesota,"8,003","1,891","5,910",53,948,870,"82,302","6,714","106,690","14,914",84.65890388,140,33,103,1,17,15,1441,118,"1,868","5,711,471"
Hawaii,"4,102",840,0,0,63,133,"17,356","1,343","23,837","4,165",80.64681009,283,58,0,0,4,9,1199,93,"1,646","1,447,154"
Georgia,"47,010",6512,39740,0,1119,403,"339,659","16,414","450,857","87,869",79.4471941,436,60,368,0,10,4,3148,152,"4,178","10,788,029"
Connecticut,"9,889",840,0,0,96,170,"29,065","2,711","42,771","9,985",74.43021767,273,23,0,0,3,5,802,75,"1,181","3,623,355"
Ohio,"45,029",4622,19090,0,1746,472,"190,835","21,822","283,616","65,865",74.34164394,383,39,162,0,15,4,1622,185,"2,410","11,764,342"
Massachusetts,"6,148","1,260","8,310",0,288,263,"37,801","1,388","55,458","14,746",71.93750357,88,18,119,0,4,4,541,20,794,"6,989,690"
Washington,"13,674","2,311","10,200",391,693,523,"61,561","11,372","100,725","24,958",71.15315711,177,30,132,5,9,7,795,147,"1,302","7,740,745"
Colorado,"15,865","1,681","12,710",49,753,314,"70,819","10,139","112,330","29,377",70.68046629,273,29,219,1,13,5,1219,174,"1,933","5,811,297"
District of Columbia,N/A,"3,361","1,330",0,117,184,"3,417","2,251","10,660","1,447",70.25082237,N/A,503,199,0,17,28,511,337,"1,595","668,791"
Michigan,"32,186","4,201","15,510",12,"1,353",209,"111,385","10,920","175,776","49,061",69.42211087,321,42,155,0,13,2,1110,109,"1,752","10,037,504"
Indiana,"24,716",3361,"19,340",0,1155,149,"96,073","5,519","150,313","45,211",67.99991506,363,49,284,0,17,2,1410,81,"2,206","6,813,532"
Vermont,"1,287",210,0,0,18,0,"2,625",797,"4,938","1,305",66.79389313,199,32,0,0,3,0,406,123,763,"646,972"
Maryland,"15,134","3,991","11,610",0,495,715,"54,010","8,467","94,422","27,239",66.4746643,245,65,188,0,8,12,875,137,"1,530","6,174,610"
Idaho,"8,907",840,4380,50,342,15,"26,194",6659,"47,387","13,679",65.69357711,468,44,230,3,18,1,1375,350,2489,"1,904,314"
Delaware,"4,810",420,0,0,129,27,"9,321",331,"15,038","4,939",65.36465638,479,42,0,0,13,3,928,33,"1,498","1,004,807"
Iowa,"8,562","3,571","4,100",0,441,156,"24,600","6,167","47,597","13,103",65.24679734,268,112,128,0,14,5,769,193,"1,489","3,197,689"
North Dakota,"1,689",840,"1,250",149,78,28,"5,879",622,"10,535","3,166",64.99723604,217,108,161,19,10,4,756,80,"1,355","777,934"
Illinois,"28,475","6,092","16,700",0,834,1185,"85,168","21,164","159,618","46,009",64.92601599,224,48,132,0,7,9,671,167,"1,258","12,686,469"
Texas,"133,772",22267,"58,190",0,3699,1527,"336,883",100314,"656,652","195,661",63.2591861,453,75,197,0,13,5,1140,339,2222,"29,558,864"
Maine,"1,577",420,"1,430",0,60,53,"5,186",16,"8,743","3,067",62.83775597,115,31,104,0,4,4,377,1,636,"1,377,238"
Arkansas,"17,022","2,521","6,870",0,465,146,"40,859","22,923","90,806","24,357",62.65180324,562,83,227,0,15,5,1349,757,"2,998","3,028,122"
Kentucky,"18,560","3,151","14,500",0,588,52,"53,686","12,767","103,304","33,648",61.47204983,412,70,322,0,13,1,1191,283,"2,292","4,506,589"
Montana,"4,313","1,260","1,670",221,138,59,"9,262","1,382","18,305","6,342",59.35657524,390,114,151,20,12,5,837,125,"1,654","1,106,227"
Oregon,"13,198","1,050","6,530",30,651,424,"29,162","21,672","72,717","20,409",58.82875068,310,25,153,1,15,10,685,509,"1,708","4,256,301"
Arizona,"33,914","3,361","12,980",701,606,217,"68,027","6,755","126,561","48,201",58.5289259,467,46,179,10,8,3,936,93,"1,742","7,264,877"
